No;Zeit;Intervall(mi);innen Luftfeuchtigkeit(%);innen Temperatur(°C);außen Luftfeuchtigkeit(%);außen Temperatur(°C);absolut Luftdruck(Hpa);Wind(m/s);Windbö"(m/s);Richtung;relative Luftdruck(Hpa);Taupunkt(°C);Windauskühlung(°C);Stunde Niederschlag(mm);24 Stunde Niederschlag(mm);Woche Niederschlag(mm);Monat Niederschlag(mm);Total Niederschlag(mm);Wind Level(bft);Windbö Level(bft)
60;07-01-2015 15:27;30;44;19.0;88;3.0;1000.3;0.7;0.7;W;1034.4;1.2;3.0;0.0;0.6;0.6;0.6;0.6;1;1
61;07-01-2015 15:57;30;44;19.1;83;2.8;1000.3;1.0;2.0;SW;1034.4;0.2;2.8;0.0;0.6;0.6;0.6;0.6;1;2
62;07-01-2015 16:27;30;44;19.1;83;2.6;1000.3;1.0;3.1;N;1034.4;0.0;2.6;0.0;0.6;0.6;0.6;0.6;1;2
63;07-01-2015 16:57;30;43;19.2;84;1.9;1000.6;0.0;0.7;N;1034.7;-0.5;1.9;0.0;0.6;0.6;0.6;0.6;0;1
64;07-01-2015 17:27;30;43;19.2;84;1.4;1000.8;0.3;0.7;N;1034.9;-1.0;1.4;0.0;0.6;0.6;0.6;0.6;1;1
65;07-01-2015 17:57;30;42;19.1;83;1.1;1000.7;0.7;1.7;SW;1034.8;-1.5;1.1;0.0;0.6;0.6;0.6;0.6;1;2
66;07-01-2015 18:27;30;42;19.1;84;1.1;1000.7;0.3;0.7;W;1034.8;-1.3;1.1;0.0;0.6;0.6;0.6;0.6;1;1
67;07-01-2015 18:57;30;42;19.1;83;1.2;1000.4;0.0;0.3;SW;1034.5;-1.4;1.2;0.0;0.6;0.6;0.6;0.6;0;1
68;07-01-2015 19:27;30;41;19.1;83;1.2;1000.7;0.0;0.7;NW;1034.8;-1.4;1.2;0.0;0.6;0.6;0.6;0.6;0;1
69;07-01-2015 19:57;30;41;19.1;83;1.2;1000.4;0.3;1.4;S;1034.5;-1.4;1.2;0.0;0.6;0.6;0.6;0.6;1;1
70;07-01-2015 20:27;30;41;19.3;84;1.1;1000.2;0.0;0.3;SW;1034.3;-1.3;1.1;0.0;0.6;0.6;0.6;0.6;0;1
71;07-01-2015 20:57;30;41;19.2;84;1.1;1000.2;0.0;0.3;SE;1034.3;-1.3;1.1;0.0;0.6;0.6;0.6;0.6;0;1
72;07-01-2015 21:27;30;41;19.3;83;1.0;1000.1;0.3;0.7;E;1034.2;-1.6;1.0;0.0;0.6;0.6;0.6;0.6;1;1
73;07-01-2015 21:57;30;42;19.3;84;0.8;1000.1;0.7;1.0;E;1034.2;-1.6;0.8;0.0;0.6;0.6;0.6;0.6;1;1
74;07-01-2015 22:27;30;42;19.5;84;0.7;1000.1;0.7;1.7;E;1034.2;-1.7;0.7;0.0;0.6;0.6;0.6;0.6;1;2
75;07-01-2015 22:57;30;41;19.5;84;0.7;1000.1;1.7;2.4;NW;1034.2;-1.7;0.7;0.0;0.6;0.6;0.6;0.6;2;2
76;07-01-2015 23:27;30;41;19.4;84;0.6;1000.0;1.0;1.7;SWW;1034.1;-1.8;0.6;0.0;0.6;0.6;0.6;0.6;1;2
77;07-01-2015 23:57;30;41;19.2;85;0.6;1000.0;0.0;0.3;SW;1034.1;-1.6;0.6;0.0;0.6;0.6;0.6;0.6;0;1
78;08-01-2015 00:27;30;41;19.0;84;0.6;999.5;1.4;3.4;W;1033.6;-1.8;0.6;0.0;0.6;0.6;0.6;0.6;1;3
79;08-01-2015 00:57;30;41;19.1;84;0.6;999.6;0.0;0.7;NW;1033.7;-1.8;0.6;0.0;0.6;0.6;0.6;0.6;0;1
80;08-01-2015 01:27;30;41;19.2;84;0.4;999.2;0.0;0.3;SE;1033.3;-2.0;0.4;0.0;0.6;0.6;0.6;0.6;0;1
81;08-01-2015 01:57;30;41;19.1;84;0.5;998.8;0.0;0.3;SW;1032.9;-1.9;0.5;0.0;0.6;0.6;0.6;0.6;0;1
82;08-01-2015 02:27;30;42;18.9;84;0.5;998.7;0.3;0.7;SE;1032.8;-1.9;0.5;0.0;0.6;0.6;0.6;0.6;1;1
83;08-01-2015 02:57;30;42;18.9;84;0.7;998.4;0.0;0.3;S;1032.5;-1.7;0.7;0.0;0.6;0.6;0.6;0.6;0;1
84;08-01-2015 03:27;30;42;18.8;83;1.0;998.1;0.0;0.7;E;1032.2;-1.6;1.0;0.0;0.6;0.6;0.6;0.6;0;1
85;08-01-2015 03:57;30;41;18.8;84;1.0;997.8;0.3;1.0;SW;1031.9;-1.4;1.0;0.0;0.6;0.6;0.6;0.6;1;1
86;08-01-2015 04:27;30;41;18.8;85;1.3;997.6;1.0;1.7;SE;1031.7;-0.9;1.3;0.0;0.6;0.6;0.6;0.6;1;2
87;08-01-2015 04:57;30;41;18.7;85;1.5;997.5;0.0;0.3;S;1031.6;-0.7;1.5;0.0;0.6;0.6;0.6;0.6;0;1
88;08-01-2015 05:27;30;41;18.7;86;1.6;997.3;1.4;2.0;SW;1031.4;-0.5;1.6;0.0;0.6;0.6;0.6;0.6;1;2
89;08-01-2015 05:57;30;41;18.6;86;1.6;996.7;0.7;1.4;W;1030.8;-0.5;1.6;0.0;0.6;0.6;0.6;0.6;1;1
